Strategy Name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,
2022,312.5287404,558.7378464,320.7303203,544.4500389,269.2802354,648.4755003,190.0178328,918.9749868,249.1489674,700.8724026,-0.152087847,-0.211396627,-0.174413449,-0.190071128,-0.216701947,-0.146344892,-0.267963081,-0.086567402,-0.2307485,-0.130757127,,2021,369,709,388,672,344,760,260,1006,324,806
2023,420.2213881,660.2572667,433.0914987,640.6365074,355.076864,781.3920118,255.9526504,1084.006064,323.871062,856.6811228,0.344584781,0.18169419,0.350329143,0.176667208,0.318614652,0.204967669,0.346992789,0.179581685,0.299909309,0.222306827,,2022,313,559,321,544,269,648,190,919,249,701
,,,,,,,,,,,,,,,,,,,,,,2023,420,660,433,641,355,781,256,1084,324,857
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strategy Name,9 Day Winner Strategy,9 Day Loser Strategy,7 Day Winner Strategy,7 Day Loser Strategy,5 Day Winner Strategy,5 Day Loser Strategy,3 Day Winner Strategy,3 Day Loser Strategy,Inertia,Anti-Inertia,,,,,,,,,,,,,,,,,,,,,,
2006,15.2%,15.1%,14.1%,16.2%,15.8%,14.4%,7.9%,22.8%,11.4%,19.0%,,,,,,,,,,,,,,,100,,,,,,,
2007,-1.2%,13.6%,-1.8%,14.3%,1.3%,10.9%,0.5%,11.7%,-0.2%,12.5%,,,,2006,15.2,15.1,14.1,16.2,15.8,14.4,7.9,22.8,11.4,19.0,,,,,,,,
2008,-48.1%,-23.1%,-45.9%,-26.3%,-49.4%,-21.2%,-48.8%,-22.1%,-45.7%,-26.5%,,,,2007,-1.2,13.6,-1.8,14.3,1.3,10.9,0.5,11.7,-0.2,12.5,,,,,,,,
2009,26.9%,26.4%,21.6%,31.9%,20.9%,32.7%,22.6%,30.9%,19.3%,34.4%,,,,2008,-48.1,-23.1,-45.9,-26.3,-49.4,-21.2,-48.8,-22.1,-45.7,-26.5,,,,,,,,
2010,14.3%,17.5%,16.7%,15.0%,9.4%,22.7%,8.7%,23.5%,9.4%,22.7%,,,,2009,26.9,26.4,21.6,31.9,20.9,32.7,22.6,30.9,19.3,34.4,,,,,,,,
2011,-2.7%,6.7%,0.3%,3.5%,-3.4%,7.6%,-5.0%,9.3%,-4.9%,9.2%,,,,2010,14.3,17.5,16.7,15.0,9.4,22.7,8.7,23.5,9.4,22.7,,,,,,,,
2012,11.0%,20.6%,9.7%,22.0%,5.3%,27.1%,4.8%,27.7%,-1.8%,36.3%,,,,2011,-2.7,6.7,0.3,3.5,-3.4,7.6,-5.0,9.3,-4.9,9.2,,,,,,,,
2013,27.9%,36.6%,29.6%,34.9%,28.2%,36.2%,26.3%,38.3%,24.6%,40.3%,,,,2012,11.0,20.6,9.7,22.0,5.3,27.1,4.8,27.7,-1.8,36.3,,,,,,,,
2014,13.3%,13.6%,12.2%,14.8%,14.5%,12.5%,8.6%,18.6%,10.2%,16.9%,,,,2013,27.9,36.6,29.6,34.9,28.2,36.2,26.3,38.3,24.6,40.3,,,,,,,,
2015,-2.3%,4.1%,-2.3%,4.2%,-0.9%,2.7%,-0.3%,2.1%,-2.7%,4.6%,,,,2014,13.3,13.6,12.2,14.8,14.5,12.5,8.6,18.6,10.2,16.9,,,,,,,,
2016,14.9%,8.8%,16.0%,7.8%,11.6%,12.1%,10.8%,12.9%,12.6%,11.1%,,,,2015,-2.3,4.1,-2.3,4.2,-0.9,2.7,-0.3,2.1,-2.7,4.6,,,,,,,,
2017,20.4%,21.9%,21.1%,21.3%,22.2%,20.2%,21.5%,20.8%,21.1%,21.2%,,,,2016,14.9,8.8,16.0,7.8,11.6,12.1,10.8,12.9,12.6,11.1,,,,,,,,
2018,-10.8%,1.9%,-2.3%,-7.0%,-2.8%,-6.5%,0.4%,-9.5%,-2.5%,-6.7%,,,,2017,20.4,21.9,21.1,21.3,22.2,20.2,21.5,20.8,21.1,21.2,,,,,,,,
2019,31.9%,30.6%,28.2%,34.5%,36.1%,26.6%,35.8%,26.9%,37.1%,25.7%,,,,2018,-10.8,1.9,-2.3,-7.0,-2.8,-6.5,0.4,-9.5,-2.5,-6.7,,,,,,,,
2020,13.3%,19.4%,7.3%,26.2%,8.8%,24.4%,3.8%,30.4%,27.7%,6.0%,,,,2019,31.9,30.6,28.2,34.5,36.1,26.6,35.8,26.9,37.1,25.7,,,,,,,,
2021,52.3%,8.3%,53.0%,7.7%,50.8%,9.3%,35.3%,21.9%,41.7%,16.3%,,,,2020,13.3,19.4,7.3,26.2,8.8,24.4,3.8,30.4,27.7,6.0,,,,,,,,
2022,-15.2%,-21.1%,-17.4%,-19.0%,-21.7%,-14.6%,-26.8%,-8.7%,-23.1%,-13.1%,,,,2021,52.3,8.3,53.0,7.7,50.8,9.3,35.3,21.9,41.7,16.3,,,,,,,,
2023,34.5%,18.2%,35.0%,17.7%,31.9%,20.5%,34.7%,18.0%,30.0%,22.2%,,,,2022,-15.2,-21.1,-17.4,-19.0,-21.7,-14.6,-26.8,-8.7,-23.1,-13.1,,,,,,,,
MAX,52.3%,36.6%,53.0%,34.9%,50.8%,36.2%,35.8%,38.3%,41.7%,40.3%,,,,2023,34.5,18.2,35.0,17.7,31.9,20.5,34.7,18.0,30.0,22.2,,,,,,,,
MIN,-48.1%,-23.1%,-45.9%,-26.3%,-49.4%,-21.2%,-48.8%,-22.1%,-45.7%,-26.5%,,,,MAX,52.3,36.6,53.0,34.9,50.8,36.2,35.8,38.3,41.7,40.3,,,,,,,,
