Date,Investment_Value
2008-05-29,262.08735156937354
2008-05-30,263.8628066150834
2008-06-02,261.6321313746511
2008-06-03,260.9492903840906
2008-06-04,261.63213137465107
2008-06-05,267.0496475354948
2008-06-06,260.0387644068301
2008-06-09,259.62896994528734
2008-06-10,258.7639980829301
2008-06-11,255.21310938846423
2008-06-12,255.8049491339881
2008-06-13,259.6745668540984
2008-06-16,260.31193931757144
2008-06-17,260.1297442549129
2008-06-18,257.5348714617488
2008-06-19,258.49097295086625
2008-06-20,253.89741069170847
2008-06-23,253.5780397574464
2008-06-24,254.5417368882127
2008-06-25,258.0399477947911
2008-06-26,251.35685490354533
2008-06-27,251.0320099978857
2008-06-30,251.3104640381144
2008-07-01,251.1248570373334
2008-07-02,245.46277680661188
2008-07-03,245.0914757269355
2008-07-07,243.3744259287182
2008-07-08,245.46277680661183
2008-07-09,241.3787043949863
2008-07-10,242.5389331908605
2008-07-11,241.7035928397032
2008-07-14,241.51789876080773
2008-07-15,238.68698926261857
2008-07-16,242.5389331908606
2008-07-17,246.02889545200568
2008-07-18,247.7199076749637
2008-07-21,248.9072846128172
2008-07-22,252.7569718465764
2008-07-23,255.1676778961
2008-07-24,250.5335006499168
2008-07-25,252.8506119160845
2008-07-28,248.79571248644328
2008-07-29,253.140330075122
2008-07-30,257.8614170503686
2008-07-31,255.38704274458703
2008-08-01,253.44646276889603
2008-08-04,250.43847619111747
2008-08-05,256.2591940839262
2008-08-06,257.8235836838745
2008-08-07,253.9106101055476
2008-08-08,260.9892376089006
2008-08-11,262.00928441966306
2008-08-12,261.0378145215085
2008-08-13,262.64082985290287
2008-08-14,264.0007783439118
2008-08-15,264.09806887713694
2008-08-18,260.406519719619
2008-08-19,258.4147979486882
2008-08-20,260.406519719619
2008-08-21,261.23214495660864
2008-08-22,263.27226136280177
2008-08-25,258.9005442900996
2008-08-26,259.4348447594507
2008-08-27,261.8850624774764
2008-08-28,265.65485915372693
2008-08-29,266.03195167867773
2008-09-02,263.40390383027824
2008-09-03,264.79866446387734
2008-09-04,256.2050045885245
2008-09-05,257.9136376630676
2008-09-08,259.87363529485805
2008-09-09,252.43576205340617
2008-09-10,254.2449598096728
2008-09-11,258.1649786467844
2008-09-12,261.68485606622505
2008-09-15,252.2196559116705
2008-09-16,255.9755368504391
2008-09-17,245.93227318007496
2008-09-18,252.6108673970974
2008-09-19,263.2871337684431
2008-09-22,256.5321719071115
2008-09-23,252.92666176938792
2008-09-24,253.85954407052887
2008-09-25,256.7101484842626
2008-09-26,257.28375245193115
2008-09-29,241.4115020829182
2008-09-30,247.07196613979625
2008-10-01,250.05516921739127
2008-10-02,240.1111090031848
2008-10-03,236.9920912885864
2008-10-06,227.74250456218616
2008-10-07,212.4237626611484
2008-10-08,210.1486548459344
2008-10-09,199.30258433185384
2008-10-10,200.6578792216617
2008-10-13,221.18602262621468
2008-10-14,223.0196424510375
2008-10-15,203.16903492611928
2008-10-16,210.9020476799193
2008-10-17,212.6358073492335
2008-10-20,221.88086495211056
2008-10-21,216.366166620194
2008-10-22,206.34979116795373
2008-10-23,202.4107002384256
2008-10-24,191.6626888454265
2008-10-27,192.22540671541657
